wav,affect,length
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_F003.wav,Happiness,2.66625
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_F013.wav,Sadness,2.6264375
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_F015.wav,Sadness,3.8004375
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_F016.wav,Sadness,2.8473125
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_F017.wav,Sadness,3.476125
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_F022.wav,Sadness,6.289
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_F023.wav,Sadness,2.76575
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_F024.wav,Sadness,6.2049375
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_F026.wav,Sadness,6.9044375
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_F029.wav,Sadness,3.3971875
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_F030.wav,Sadness,5.631
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_F031.wav,Sadness,3.084125
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_F032.wav,Sadness,3.760625
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_F033.wav,Sadness,4.6759375
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_M000.wav,Sadness,3.422375
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_M001.wav,Sadness,2.109125
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_M002.wav,Sadness,3.0045
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_M003.wav,Sadness,4.645
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_M004.wav,Sadness,4.5565
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_M005.wav,Sadness,2.0693125
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_M006.wav,Sadness,2.76375
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_M011.wav,Sadness,2.2881875
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_M012.wav,Sadness,3.2631875
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_M013.wav,Sadness,6.8699375
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_M016.wav,Sadness,3.1636875
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_M019.wav,Sadness,2.3971875
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_M024.wav,Sadness,3.303
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_M025.wav,Sadness,3.3825625
