file_location,affect,arousal,valence,dominance,zero_shot_emotion
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_F003.wav,Happiness,-0.3449393231408293,-0.4803834429504745,-0.39422268945662875,Sadness
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_F013.wav,Sadness,-0.2305869790796652,-0.2807158596129,-0.189798375761556,Sadness
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_F015.wav,Sadness,-0.17525055411682589,-0.4954214734265221,-0.24456419587770162,Sadness
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_F016.wav,Sadness,-0.15235506284883116,-0.588669370430495,-0.16087594935805594,Sadness
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_F017.wav,Sadness,-0.4446163983274164,-0.2910047022228084,-0.4043484877296477,Sadness
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_F022.wav,Sadness,-0.21525905230145903,-0.0047022963867742185,-0.24748170820333137,Neutral
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_F023.wav,Sadness,-0.03411765915665088,-0.08199281620770249,-0.021867248302313458,Neutral
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_F024.wav,Sadness,0.2108457152726022,-0.2342894542519759,0.1343015711533353,Neutral
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_F026.wav,Sadness,0.018952025695993635,-0.08971453978661825,-0.055172774666991664,Neutral
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_F029.wav,Sadness,-0.16792802905010662,-0.3761990078798949,-0.18825006643142217,Sadness
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_F030.wav,Sadness,-0.47291792202764016,-0.9270781282019227,-0.5089080333021107,Sadness
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_F031.wav,Sadness,-0.4342478018522855,-0.42411187240090475,-0.4972121461522233,Sadness
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_F032.wav,Sadness,-0.09984330962454957,-0.5652595075491125,-0.17918416100726076,Sadness
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_F033.wav,Sadness,0.03940877534749809,-0.015090440331298915,0.05846045473918071,Neutral
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_M000.wav,Sadness,-0.3872460625218994,0.032408737301931945,-0.3911399366568601,Neutral
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_M001.wav,Sadness,-0.7021053294502948,-0.2250036905058469,-0.7442752660095584,Sadness
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_M002.wav,Sadness,-0.4034158209835921,-0.1306005546203216,-0.4897341861277189,Sadness
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_M003.wav,Sadness,-0.7676041860357838,-0.18530316996922214,-0.7112869634777547,Sadness
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_M004.wav,Sadness,-0.45678390196644525,-0.06642352064832413,-0.3740790437074497,Neutral
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_M005.wav,Sadness,-0.8600299760015735,-0.309855533113261,-0.7527632017851247,Sadness
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_M006.wav,Sadness,-0.7888540940109706,-0.30469621955124815,-0.6352406323282183,Sadness
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_M011.wav,Sadness,-0.07786240918614051,-0.49413650120679886,-0.13470322454897843,Sadness
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_M012.wav,Sadness,0.05404925364187152,0.16903089218459866,0.011916345877024836,Neutral
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_M013.wav,Sadness,-0.34870484590653017,0.016611407735260597,-0.3599237587351434,Neutral
IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_M016.wav,Sadness,-0.3988853514864894,-0.4672190703180372,-0.524668240898392,Sadness
