user_id,age,consent_commercial,consent_research,current_language,described_identity,first_language,gender,phone_model,audio_id,affect,last_modified,phone_position,script,file_location,predictions
user_79a0d5bf-888e-4ea6-bc56-a96c59ab9c57,40-60,t,t,English ,,English ,Woman,Iphone11,shout_data_5f0d4af4-93c1-4f98-baab-45da82fcd7a4.wav,anger,"Tue, 02 Aug 2022 04:18:25 +0000",Place phone 1-2 meters away face up on any surface 8/19,hungry action hippos fruit,shout-data/test-data/shout_data_5f0d4af4-93c1-4f98-baab-45da82fcd7a4/final/chunk11.wav,anger
user_79a0d5bf-888e-4ea6-bc56-a96c59ab9c57,40-60,t,t,English ,,English ,Woman,Iphone11,shout_data_5f0d4af4-93c1-4f98-baab-45da82fcd7a4.wav,anger,"Tue, 02 Aug 2022 04:18:25 +0000",Place phone 1-2 meters away face up on any surface 8/19,hungry action hippos fruit,shout-data/test-data/shout_data_5f0d4af4-93c1-4f98-baab-45da82fcd7a4/final/chunk13.wav,happiness
user_79a0d5bf-888e-4ea6-bc56-a96c59ab9c57,40-60,t,t,English ,,English ,Woman,Iphone11,shout_data_5f0d4af4-93c1-4f98-baab-45da82fcd7a4.wav,anger,"Tue, 02 Aug 2022 04:18:25 +0000",Place phone 1-2 meters away face up on any surface 8/19,hungry action hippos fruit,shout-data/test-data/shout_data_5f0d4af4-93c1-4f98-baab-45da82fcd7a4/final/chunk21.wav,anger
user_f39f7456-112f-4b99-ad53-9ac2b4dd3204,25-39,t,t,English,,Tagalog,Woman,Iphone11,shout_data_684c15d3-926b-4b86-bb22-7f81d1385312.wav,neutral,"Tue, 02 Aug 2022 04:19:13 +0000",Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,wolf ring lights are fantastic,shout-data/test-data/shout_data_684c15d3-926b-4b86-bb22-7f81d1385312/final/chunk11.wav,anger
user_f39f7456-112f-4b99-ad53-9ac2b4dd3204,25-39,t,t,English,,Tagalog,Woman,Iphone11,shout_data_684c15d3-926b-4b86-bb22-7f81d1385312.wav,neutral,"Tue, 02 Aug 2022 04:19:13 +0000",Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,wolf ring lights are fantastic,shout-data/test-data/shout_data_684c15d3-926b-4b86-bb22-7f81d1385312/final/chunk21.wav,anger
user_f39f7456-112f-4b99-ad53-9ac2b4dd3204,25-39,t,t,English,,Tagalog,Woman,Iphone11,shout_data_684c15d3-926b-4b86-bb22-7f81d1385312.wav,neutral,"Tue, 02 Aug 2022 04:19:13 +0000",Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,wolf ring lights are fantastic,shout-data/test-data/shout_data_684c15d3-926b-4b86-bb22-7f81d1385312/final/chunk23.wav,anger
user_8f04825c-dcf5-4df5-81fa-34219039884b,18-24,t,t,English,,English,Woman,iPhone XR,shout_data_427ddf63-5f67-43bd-9a72-c120fa684e89.wav,neutral,"Tue, 02 Aug 2022 04:16:18 +0000",Place your phone in a bag and hold it next to your hip 7/19,five special guest treasures,shout-data/test-data/shout_data_427ddf63-5f67-43bd-9a72-c120fa684e89/final/chunka.wav,neutral
user_8f04825c-dcf5-4df5-81fa-34219039884b,18-24,t,t,English,,English,Woman,iPhone XR,shout_data_427ddf63-5f67-43bd-9a72-c120fa684e89.wav,neutral,"Tue, 02 Aug 2022 04:16:18 +0000",Place your phone in a bag and hold it next to your hip 7/19,five special guest treasures,shout-data/test-data/shout_data_427ddf63-5f67-43bd-9a72-c120fa684e89/final/chunkb.wav,anger
user_8f04825c-dcf5-4df5-81fa-34219039884b,18-24,t,t,English,,English,Woman,iPhone XR,shout_data_427ddf63-5f67-43bd-9a72-c120fa684e89.wav,neutral,"Tue, 02 Aug 2022 04:16:18 +0000",Place your phone in a bag and hold it next to your hip 7/19,five special guest treasures,shout-data/test-data/shout_data_427ddf63-5f67-43bd-9a72-c120fa684e89/final/chunkc.wav,anger
user_f39f7456-112f-4b99-ad53-9ac2b4dd3204,25-39,t,t,English,,Tagalog,Woman,Iphone11,shout_data_4254ee42-32ac-4478-a1e4-5d67bb7f5649.wav,neutral,"Tue, 02 Aug 2022 04:16:17 +0000",Place phone as far away as possible while on on the opposite side of a wall from you in a bag 19/19,wolf ring lights are fantastic,shout-data/test-data/shout_data_4254ee42-32ac-4478-a1e4-5d67bb7f5649/final/chunka.wav,neutral
