wav,affect,length,predictions
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_F000.wav,Anger,2.5814375,Anger
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_F001.wav,Anger,3.0419375,Anger
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_F002.wav,Anger,3.99,Anger
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_F003.wav,Anger,3.2199375,Anger
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_F004.wav,Anger,3.090375,Anger
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_F005.wav,Anger,3.16975,Anger
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_F006.wav,Anger,3.1899375,Anger
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_F007.wav,Anger,3.7099375,Anger
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_F008.wav,Anger,5.2819375,Anger
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_F009.wav,Anger,4.6526875,Anger
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_F010.wav,Anger,5.57075,Anger
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_F011.wav,Anger,5.199375,Anger
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_F012.wav,Anger,7.5299375,Anger
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_F013.wav,Anger,8.2599375,Anger
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_F014.wav,Anger,3.3143125,Anger
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_F015.wav,Anger,5.782375,Anger
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_F016.wav,Anger,8.76125,Anger
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_F017.wav,Sadness,3.242875,Sadness
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_F019.wav,Sadness,2.8399375,Sadness
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_F020.wav,Sadness,2.43,Sadness
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_F021.wav,Sadness,3.2403125,Sadness
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_M000.wav,Neutral,2.0404375,Neutral
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_M001.wav,Neutral,3.87,Neutral
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_M002.wav,Neutral,6.6369375,Neutral
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_M003.wav,Anger,4.62,Anger
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_M004.wav,Neutral,2.7799375,Neutral
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_M005.wav,Neutral,3.609,Neutral
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_M007.wav,Neutral,9.9553125,Neutral
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_M008.wav,Neutral,2.34,Neutral
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_M009.wav,Anger,1.55,Anger
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_M012.wav,Anger,1.7779375,Anger
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_M013.wav,Neutral,1.54,Neutral
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_M016.wav,Surprise,2.1,Surprise
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_M017.wav,Anger,5.6399375,Anger
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_impro03/Ses04F_impro03_F010.wav,Happiness,9.5,Happiness
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_impro03/Ses04F_impro03_F011.wav,Happiness,1.447,Happiness
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_impro03/Ses04F_impro03_F012.wav,Happiness,1.93,Happiness
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_impro03/Ses04F_impro03_F020.wav,Neutral,2.09,Neutral
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_impro03/Ses04F_impro03_F021.wav,Neutral,1.62,Happiness
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_impro03/Ses04F_impro03_F022.wav,Neutral,2.92,Neutral
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_impro03/Ses04F_impro03_F023.wav,Neutral,1.8,Neutral
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_impro03/Ses04F_impro03_F027.wav,Neutral,2.15,Neutral
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_impro03/Ses04F_impro03_F028.wav,Neutral,1.46,Neutral
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_impro03/Ses04F_impro03_F029.wav,Neutral,5.6,Neutral
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_impro03/Ses04F_impro03_F030.wav,Neutral,3.62,Neutral
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_impro03/Ses04F_impro03_F031.wav,Neutral,1.3199375,Neutral
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_impro03/Ses04F_impro03_F032.wav,Neutral,1.72,Neutral
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_impro03/Ses04F_impro03_F033.wav,Neutral,1.3,Neutral
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_impro03/Ses04F_impro03_F035.wav,Neutral,3.2599375,Neutral
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_impro03/Ses04F_impro03_F037.wav,Neutral,1.8,Neutral
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_impro03/Ses04F_impro03_F039.wav,Neutral,2.56,Neutral
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_impro03/Ses04F_impro03_F046.wav,Neutral,4.5099375,Neutral
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_impro03/Ses04F_impro03_F049.wav,Neutral,5.25,Neutral
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_impro03/Ses04F_impro03_M000.wav,Neutral,2.92,Neutral
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_impro03/Ses04F_impro03_M001.wav,Neutral,6.68,Neutral
IEMOCAP_full_release/Session4/sentences/wav/Ses04F_impro03/Ses04F_impro03_M002.wav,Surprise,2.5899375,Surprise
